,count
dya,6
pen,6
ultra,6
tibatiba,6
sihhhh,6
senampol,6
perbaikin,6
nyaranin,6
rilis,6
wishlist,6
jago,6
kak,6
ajah,6
lbih,6
istirahat,6
bangeett,6
kebel,6
busui,6
netral,6
mubazir,6
kilat,6
mempan,6
pergi,6
mager,6
drop,6
bumil,6
jerwat,6
cobaaa,6
cobainn,6
menurtku,6
kuliah,6
kantor,6
fragrancenya,6
wcd,6
dampak,6
terkadang,6
solusi,6
dupenya,6
feelnya,6
risih,6
tsb,6
dehhhh,6
totolin,6
itu,6
protection,6
kucel,6
nyarinya,6
nilai,6
because,6
gilaa,6
long,6
safe,6
blg,6
tried,6
personally,6
comedogenic,6
gaperlu,6
kece,6
lohh,6
jempol,6
lohhh,6
hebat,6
awal,6
repurcase,6
gajadi,6
huhuu,6
perfect,6
setia,6
mehong,6
bengkak,6
krg,6
canggih,6
smp,6
jaman,6
pot,6
months,6
guess,6
bolong,6
agk,6
kacau,6
coklat,6
absorbed,6
memudarr,6
hyperpigmentasi,6
stay,6
waw,6
youtube,6
thx,6
does,6
great,6
tea,6
model,6
exfoliate,6
improvement,6
sun,6
asam,6
perskincarean,6
research,6
tiny,6
berkat,6
lebi,6
jadiin,6
extra,6
nyerah,6
kdg,6
zinc,5
dehhh,5
pemakain,5
kecot,5
asem,5
satusatunya,5
discount,5
picu,5
pretty,5
dar,5
could,5
serumm,5
little,5
aka,5
any,5
sosmed,5
kerontang,5
berjerawar,5
oya,5
tera,5
residu,5
kerut,5
bgtu,5
axisy,5
pkai,5
kelupas,5
another,5
klop,5
beberapa,5
mungkn,5
ngeredain,5
beginner,5
aaaa,5
ternyataa,5
memperbaikin,5
digabungin,5
udahh,5
high,5
pertamakali,5
samasekali,5
ngrasa,5
amazed,5
heboh,5
axis,5
sbnrnya,5
oiyaa,5
adek,5
samplenya,5
almost,5
keruh,5
lelah,5
butir,5
nolong,5
version,5
gabungin,5
nihh,5
makek,5
parahhh,5
irritation,5
actually,5
petal,5
pendek,5
ampun,5
jerewi,5
post,5
aging,5
sale,5
negeri,5
jxb,5
there,5
renti,5
wkt,5
sptnya,5
kado,5
mosturizer,5
now,5
skr,5
yuja,5
luvvvv,5
simpen,5
cumaa,5
masa,5
idung,5
nggk,5
significant,5
baguus,5
domisili,5
keluarin,5
yaah,5
dilanjutin,5
